Book title,Author,Genre,Year,Language,Month,Vote,Resource,Current Page,Total Page,Progress,Missing Pages
Crónica de una muerte anunciada,Gabriel García Márquez,Mystery,1981,Spanish,Jan,⭐⭐⭐⭐⭐,Kobo,128,128,,0
Cadáver exquisito,Agustina Bazterrica,"Dystopian, Horror",2017,Spanish,March,⭐⭐⭐⭐⭐,Kobo,256,256,,0
Enhet (The Unit),Ninni Holmqvist,Dystopian,2006,English,May,⭐⭐⭐,Kobo,272,272,,0
